loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,residential_assets_value_clean,income_bin,loan_bin
1,2,graduate,no,9600000,29900000,12,778,2400000,17600000,22700000,8000000,approved,2400000,high,high
2,0,not graduate,yes,4100000,12200000,8,417,2700000,2200000,8800000,3300000,rejected,2700000,mid,mid
3,3,graduate,no,9100000,29700000,20,506,7100000,4500000,33300000,12800000,rejected,7100000,high,high
4,3,graduate,no,8200000,30700000,8,467,18200000,3300000,23300000,7900000,rejected,18200000,high,high
5,5,not graduate,yes,9800000,24200000,20,382,12400000,8200000,29400000,5000000,rejected,12400000,high,high
6,0,graduate,yes,4800000,13500000,10,319,6800000,8300000,13700000,5100000,rejected,6800000,mid,mid
7,5,graduate,no,8700000,33000000,4,678,22500000,14800000,29200000,4300000,approved,22500000,high,high
8,2,graduate,yes,5700000,15000000,20,382,13200000,5700000,11800000,6000000,rejected,13200000,mid,mid
9,0,graduate,yes,800000,2200000,20,782,1300000,800000,2800000,600000,approved,1300000,low,low
10,5,not graduate,no,1100000,4300000,10,388,3200000,1400000,3300000,1600000,rejected,3200000,low,low
11,4,graduate,yes,2900000,11200000,2,547,8100000,4700000,9500000,3100000,approved,8100000,low,mid
12,2,not graduate,yes,6700000,22700000,18,538,15300000,5800000,20400000,6400000,rejected,15300000,mid,high
13,3,not graduate,yes,5000000,11600000,16,311,6400000,9600000,14600000,4300000,rejected,6400000,mid,mid
14,2,graduate,yes,9100000,31500000,14,679,10800000,16600000,20900000,5000000,approved,10800000,high,high
15,1,not graduate,no,1900000,7400000,6,469,1900000,1200000,5900000,1900000,rejected,1900000,low,low
16,5,not graduate,no,4700000,10700000,10,794,5700000,3900000,16400000,4400000,approved,5700000,mid,mid
17,2,graduate,yes,500000,1600000,4,663,1300000,100000,1300000,700000,approved,1300000,low,low
18,4,not graduate,yes,2900000,9400000,14,780,2900000,2800000,6700000,4300000,approved,2900000,low,low
19,2,graduate,no,2700000,10300000,10,736,1000000,0,6200000,3300000,approved,1000000,low,mid
20,5,graduate,no,6300000,14600000,12,652,10300000,3500000,23500000,5900000,approved,10300000,mid,mid
21,2,graduate,no,5000000,19400000,12,315,9500000,1600000,18000000,6100000,rejected,9500000,mid,high
22,4,graduate,no,5800000,14000000,16,530,3800000,11300000,22200000,5400000,rejected,3800000,mid,mid
23,4,graduate,yes,6500000,25700000,18,311,13100000,1700000,19500000,8500000,rejected,13100000,mid,high
24,0,not graduate,yes,500000,1400000,2,551,900000,600000,1100000,300000,approved,900000,low,low
